record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	lenType	handedness	gFunction	isBeat	isPragmatic	isDepictive	isPointing	eduID	eStartTime	eEndTime	eDuration	maxIntersection	P	R	HM	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe087	Conversation	1045360	1047180	1820	long	Bh-sym	Depictive	0	0	1	0	C-vE226	1045486	1047995	2509	1694	0,9308	0,6752	0,782628783	-126	A	A	A	A	A	A	S	A
4	C	C-mGe088	Conversation	1047180	1047770	590	short	Bh-sym	Depictive	0	0	1	0	C-vE226	1045486	1047995	2509	590	1	0,2352	0,38076799	1694	D	A	D	A	D	A	D	A
4	C	C-mGe089	Conversation	1047770	1048150	380	short	Bh-sym	Depictive	0	0	1	0	C-vE226	1045486	1047995	2509	225	0,5921	0,0897	0,15576324	2284	D	D	D	D	D	D	D	S
4	C	C-mGe090	Conversation	1048150	1049480	1330	medium	Bh-sym	Depictive	0	0	1	0	C-vE227	1048224	1049491	1267	1256	0,9444	0,9913	0,967269927	-74	A	A	A	S	S	S	S	S
4	C	C-mGe091	Conversation	1049480	1050780	1300	medium	Bh-sym	Depictive	0	0	1	0	C-vE228	1049675	1050778	1103	1103	0,8485	1	0,918019142	-195	A	D	A	S	A	S	S	S
4	C	C-mGe092	Conversation	1050780	1051470	690	medium	Bh-sym	Depictive	0	0	1	0	C-vE229	1050954	1051579	625	516	0,7478	0,8256	0,784790875	-174	A	A	A	A	A	A	S	S
4	C	C-mGe093	Conversation	1051470	1052460	990	medium	Bh-sym	Other, Pragmatic	0	1	0	0	C-vE230	1051579	1052406	827	827	0,8354	1	0,910291689	-109	A	D	A	D	A	S	S	S
4	C	C-mGe094	Conversation	1052460	1053140	680	medium	Bh-id	Beat	1	0	0	0	C-vE231	1052406	1053054	648	594	0,8735	0,9167	0,894578314	54	D	D	D	D	S	S	S	S
4	C	C-mGe095	Conversation	1053140	1054320	1180	medium	Bh-id	Pointing, Pragmatic	0	1	0	1	C-vE232	1053379	1053918	539	539	0,4568	1	0,627108784	-239	A	D	A	D	A	D	A	D
4	C	C-mGe096	Conversation	1059290	1059860	570	short	Rt	Depictive	0	0	1	0	C-vE236	1059315	1060102	787	545	0,9561	0,6925	0,803242447	-25	A	A	S	A	S	A	S	A
4	C	C-mGe097	Conversation	1059860	1061300	1440	long	Rt	Depictive	0	0	1	0	C-vE237	1060102	1060644	542	542	0,3764	1	0,5469223	-242	A	D	A	D	A	D	A	D
4	C	C-mGe098	Conversation	1064400	1065200	800	medium	Bh-sym	Depictive	0	0	1	0	C-vE239	1063920	1064985	1065	585	0,7313	0,5493	0,627345845	480	D	D	D	D	D	D	D	D
4	C	C-mGe099	Conversation	1065200	1065950	750	medium	Bh-sym	Depictive	0	0	1	0	C-vE240	1065344	1066280	936	606	0,808	0,6474	0,71886121	-144	A	A	A	A	A	A	S	A
4	C	C-mGe100	Conversation	1065950	1067050	1100	medium	Bh-sym	Depictive	0	0	1	0	C-vE241	1066280	1067813	1533	770	0,7	0,5023	0,584884163	-330	A	A	A	A	A	A	A	A
4	C	C-mGe101	Conversation	1067050	1067720	670	short	Bh-dif	Depictive	0	0	1	0	C-vE241	1066280	1067813	1533	670	1	0,4371	0,608261462	770	D	A	D	A	D	S	D	S
4	C	C-mGe102	Conversation	1067720	1069140	1420	long	Bh-dif	Depictive	0	0	1	0	C-vE242	1067813	1069553	1740	1327	0,9345	0,7626	0,839873418	-93	A	A	A	A	S	A	S	A
4	C	C-mGe103	Conversation	1073250	1075040	1790	long	Rt	Depictive	0	0	1	0	C-vE245	1073615	1075160	1545	1425	0,7961	0,9223	0,854572713	-365	A	A	A	A	A	A	A	S
4	C	C-mGe104	Retelling	1255870	1257380	1510	long	Rt	Other, Pragmatic	0	1	0	0	C-vE246	1096322	1096680	358	-159190	-105,4238	-444,6648	-170,4389722	159548	D	D	D	D	D	D	D	D
4	C	C-mGe105	Retelling	1438080	1439020	940	medium	Rt	Depictive	0	0	1	0	C-vE246	1096322	1096680	358	-341400	-363,1915	-953,6313	-526,0400616	341758	D	D	D	D	D	D	D	D
4	N	N-mGe001	1st_telling	0	1640	1640	long	Bh-id	Depictive	0	0	1	0	N-vE001	1247	1974	727	393	0,2396	0,5406	0,332065906	-1247	A	A	A	A	A	A	A	A
4	N	N-mGe002	1st_telling	1640	2070	430	short	Bh-id	Depictive	0	0	1	0	N-vE001	1247	1974	727	334	0,7767	0,4594	0,577355229	393	D	D	D	D	D	S	D	S
4	N	N-mGe003	1st_telling	2070	2480	410	short	Bh-id	Other, Pragmatic	0	1	0	0	N-vE002	2205	3741	1536	275	0,6707	0,179	0,282631038	-135	A	A	A	A	A	A	S	A
4	N	N-mGe004	1st_telling	2480	3820	1340	long	Bh-id	Other, Pragmatic	0	1	0	0	N-vE002	2205	3741	1536	1261	0,941	0,821	0,876912379	275	D	D	D	D	D	S	D	S
4	N	N-mGe005	1st_telling	3820	4090	270	short	Bh-id	Beat	1	0	0	0	N-vE003	3741	4606	865	270	1	0,3121	0,475770925	79	D	A	D	A	S	A	S	A
4	N	N-mGe006	1st_telling	4090	4560	470	short	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE003	3741	4606	865	470	1	0,5434	0,70411985	349	D	A	D	S	D	S	D	S
4	N	N-mGe007	1st_telling	4560	5670	1110	medium	Bh-dif	Other, Pragmatic	0	1	0	0	N-vE004	4775	5250	475	475	0,4279	1	0,599369085	-215	A	D	A	D	A	D	A	D
4	N	N-mGe008	1st_telling	6460	7000	540	short	Bh-sym	Depictive	0	0	1	0	N-vE005	6013	8491	2478	540	1	0,2179	0,357852883	447	D	A	D	A	D	A	D	A
4	N	N-mGe009	1st_telling	7000	7870	870	medium	Bh-sym	Depictive	0	0	1	0	N-vE005	6013	8491	2478	870	1	0,3511	0,519713262	987	D	A	D	A	D	A	D	A
4	N	N-mGe010	1st_telling	7870	8480	610	medium	Bh-sym	Depictive	0	0	1	0	N-vE005	6013	8491	2478	610	1	0,2462	0,39507772	1857	D	A	D	S	D	S	D	S
4	N	N-mGe011	1st_telling	8480	8900	420	short	Lt	Beat, Pragmatic	1	1	0	0	N-vE006	8594	9495	901	306	0,7286	0,3396	0,46328539	-114	A	A	A	A	A	A	S	A
4	N	N-mGe012	1st_telling	8900	9300	400	short	Bh-dif	Depictive, Pragmatic	0	1	1	0	N-vE006	8594	9495	901	400	1	0,444	0,614911607	306	D	A	D	A	D	A	D	S
4	N	N-mGe013	1st_telling	9300	9760	460	short	Bh-sym	Depictive, Pragmatic	0	1	1	0	N-vE007	9495	10004	509	265	0,5761	0,5206	0,546955625	-195	A	A	A	A	A	A	S	A
