record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_illoc_phas	edu_main_acc	edu_words_num	sDifference	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	N	N-mGe021	1st_telling	17580	18030	450	Bh-sym	Other, Pragmatic	P S	Repeat	0,53476	N-vE010	no	17389	18622	1233	Period	F	3	191	D	A	D	A	D	A	S	A
4	N	N-mGe022	1st_telling	18030	18680	650	Bh-sym	Other, Pragmatic	S R	Multi-S, S Rebound, Repeat	0,62878	N-vE010	no	17389	18622	1233	Period	F	3	641	D	D	D	D	D	S	D	S
4	N	N-mGe023	1st_telling	18680	19390	710	Bh-sym	Other, Pragmatic	P S		0,8875	N-vE011	no	18622	19512	890	Period	F	2	58	D	A	D	A	S	A	S	S
4	N	N-mGe024	1st_telling	19390	19940	550	Bh-sym	Beat, Pragmatic	S	Multi-S, Repeat	0,51566	N-vE012	no	19512	20622	1110	Period	F	2	-122	A	A	A	A	A	A	S	A
4	N	N-mGe025	1st_telling	19940	20920	980	Bh-sym	Other, Pragmatic	S H	Multi-S	0,65263	N-vE012	no	19512	20622	1110	Period	F	2	428	D	D	D	D	D	D	D	D
4	N	N-mGe026	1st_telling	20920	21330	410	Bh-sym	Other, Pragmatic	S	Lt H Overlap	0,15377	N-vE013	no	21182	22697	1515	Comma	F	5	-262	A	A	A	A	A	A	A	A
4	N	N-mGe027	1st_telling	21330	21760	430	Lt	Other, Pragmatic	P S		0,44216	N-vE013	no	21182	22697	1515	Comma	F	5	148	D	A	D	A	D	A	S	A
4	N	N-mGe028	1st_telling	21760	22080	320	Bh-dif	Other, Pragmatic	S		0,34877	N-vE013	no	21182	22697	1515	Comma	F	5	578	D	A	D	A	D	A	D	A
4	N	N-mGe029	1st_telling	22080	22660	580	Bh-dif	Pointing, Pragmatic	P S	Multi-S, Rt P Overlap	0,5537	N-vE013	no	21182	22697	1515	Comma	F	5	898	D	A	D	S	D	S	D	S
4	N	N-mGe030	1st_telling	22660	23570	910	Bh-sym	Pointing, Pragmatic	S	Repeat, Multi-S	0,9127	N-vE014	no	22697	23700	1003	Dots-nf	RL	2	-37	A	A	S	A	S	A	S	S
4	N	N-mGe031	1st_telling	23570	24510	940	Bh-sym	Pointing, Pragmatic	S	Multi-S, Rebound, Repeat	0,83851	N-vE015	no	23700	24692	992	Dots-nf	RL	1	-130	A	A	A	A	A	A	S	S
4	N	N-mGe032	1st_telling	24510	25880	1370	Bh-sym	Depictive	P S R	S Rebound, R Rebound	0,71362	N-vE016	yes	24882	25642	760	Dots-nf	RL	2	-372	A	D	A	D	A	D	A	D
4	N	N-mGe033	1st_telling	25880	27440	1560	Bh-dif	Other, Pragmatic	P S R		0,72558	N-vE017	no	25642	28382	2740	Comma	F	7	238	D	A	D	A	D	A	D	A
4	N	N-mGe034	1st_telling	27440	28160	720	Bh-sym	Depictive	P S		0,41618	N-vE017	yes	25642	28382	2740	Comma	F	7	1798	D	A	D	A	D	A	D	A
4	N	N-mGe035	1st_telling	28160	29200	1040	Bh-sym	Depictive	S R	Multi-S, Long R, Repeat	0,11746	N-vE017	no	25642	28382	2740	Comma	F	7	2518	D	D	D	D	D	D	D	D
4	N	N-mGe036	1st_telling	30340	30580	240	Bh-id	Beat, Pragmatic	S		0,28986	N-vE018	no	29386	30802	1416	Comma	R	3	954	D	A	D	A	D	A	D	A
4	N	N-mGe037	1st_telling	30580	31190	610	Bh-sym	Depictive, Pragmatic	P S		0,3576	N-vE019	yes	30802	32362	1560	Comma	R	2	-222	A	A	A	A	A	A	A	A
