record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	pragmatic	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_html	edu_illoc_phas	edu_main_acc	edu_words_num	LeftDiff	RightDiff	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe088	Conversation	1047180	1047770	590	Bh-sym	Depictive		S		0,38089	C-vE226	0	1045490	1047990	2508	/Поэтому в тот момент когда они /пада= || (? 0.10) когда он /п<u>а</u>дает,	Comma	R	10	1694	-224	D	A	D	A	D	A	D	A
4	C	C-mGe089	Conversation	1047770	1048150	380	Bh-sym	Depictive		S		0,15512	C-vE226	0	1045490	1047990	2508	/Поэтому в тот момент когда они /пада= || (? 0.10) когда он /п<u>а</u>дает,	Comma	R	10	2284	156	D	D	D	D	D	D	D	S
4	C	C-mGe090	Conversation	1048150	1049480	1330	Bh-sym	Depictive		P-S H		0,96767	C-vE227	1	1048220	1049490	1268	они показывают \гр<u>у</u>ши.	Period	F	3	-73	-11	A	A	A	S	S	S	S	S
4	C	C-mGe091	Conversation	1049480	1050780	1300	Bh-sym	Depictive		P S H		0,91802	C-vE228	0	1049680	1050780	1103	Как \?падают \гр<u>у</u>ши.	Period	F	3	-195	2	A	D	A	S	A	S	S	S
4	C	C-mGe092	Conversation	1050780	1051470	690	Bh-sym	Depictive		P S		0,78479	C-vE229	0	1050950	1051580	625	А /потом уже —	Split		3	-174	-109	A	A	A	A	A	A	S	S
4	C	C-mGe093	Conversation	1051470	1052460	990	Bh-sym	Other	 Pragmatic	P S R	Long R	0,91029	C-vE230	0	1051580	1052410	827	 (в /сл<u>е</u>дующий кадр,)	Comma	R	3	-109	54	A	D	A	D	A	S	S	S
4	C	C-mGe094	Conversation	1052460	1053140	680	Bh-id	Beat		P-S R		0,89458	C-vE231	0	1052410	1053050	648	— он \леж<u>и</u>т,	Comma	F	2	54	86	D	D	D	D	S	S	S	S
4	C	C-mGe095	Conversation	1053140	1054320	1180	Bh-id	Pointing	 Pragmatic	P-S R		0,62711	C-vE232	0	1053380	1053920	539	\вал<u>я</u>ется.	Period	F	1	-239	402	A	D	A	D	A	D	A	D
4	C	C-mGe096	Conversation	1059290	1059860	570	Rt	Depictive		P S		0,80324	C-vE236	1	1059320	1060100	787	когда –/?<u>е</u>дешь,	Comma	LRl	2	-25	-242	A	A	S	A	S	A	S	A
4	C	C-mGe097	Conversation	1059860	1061300	1440	Rt	Depictive		P S R		0,54692	C-vE237	1	1060100	1060640	542	(на –в<u>е</u>лике,) ~	Comma, Tilde	L	2	-242	656	A	D	A	D	A	D	A	D
4	C	C-mGe098	Conversation	1064400	1065200	800	Bh-sym	Depictive		P S	BreakOff	0,62735	C-vE239	1	1063920	1064980	1065	такая /–шляпа ??	Interrupt		2	480	215	D	D	D	D	D	D	D	D
4	C	C-mGe099	Conversation	1065200	1065950	750	Bh-sym	Depictive		P S		0,71886	C-vE240	1	1065340	1066280	936	<sup>?</sup>С /пол<u>я</u>ми да,	Comma	R	3	-144	-330	A	A	A	A	A	A	S	A
4	C	C-mGe100	Conversation	1065950	1067050	1100	Bh-sym	Depictive		P S		0,58488	C-vE241	1	1066280	1067810	1533	на ней ещё /верёвочка навяз= ==	Fst		5	-330	-763	A	A	A	A	A	A	A	A
4	C	C-mGe101	Conversation	1067050	1067720	670	Bh-dif	Depictive		P S		0,60826	C-vE241	1	1066280	1067810	1533	на ней ещё /верёвочка навяз= ==	Fst		5	770	-93	D	A	D	A	D	S	D	S
4	C	C-mGe102	Conversation	1067720	1069140	1420	Bh-dif	Depictive		S R	Long R	0,83987	C-vE242	1	1067810	1069550	1740	(? 0.09) с= || ну \сб<u>о</u>ку такая /завязана.	Period	F	5	-93	-413	A	A	A	A	S	A	S	A
4	C	C-mGe103	Conversation	1073250	1075040	1790	Rt	Depictive		P S R	R Rebound	0,85457	C-vE245	1	1073620	1075160	1545	и сбоку –/вер<u>ё</u>вочкой завязано.	Period	LR	4	-365	-120	A	A	A	A	A	A	A	S
4	C	C-mGe104	Retelling	1255870	1257380	1510	Rt	Other	 Pragmatic	P-S R				0																	
4	C	C-mGe105	Retelling	1438080	1439020	940	Rt	Depictive		P S	S Rebound, BreakOff			0																	
4	N	N-mGe001	1st_telling	0	1640	1640	Bh-id	Depictive		P S	Multi-Rebound	0,33207	N-vE001	0	1247	1974	727	/Старый \ф<u>и</u>льм.	Period	F	2	-1247	-334	A	A	A	A	A	A	A	A
4	N	N-mGe002	1st_telling	1640	2070	430	Bh-id	Depictive		P S	Repeat	0,57736	N-vE001	0	1247	1974	727	/Старый \ф<u>и</u>льм.	Period	F	2	393	96	D	D	D	D	D	S	D	S
4	N	N-mGe003	1st_telling	2070	2480	410	Bh-id	Other	 Pragmatic	P S	Repeat	0,28263	N-vE002	0	2205	3741	1536	Годов \семидес<u>я</u>тых я думаю.	Period	F	4	-135	-1261	A	A	A	A	A	A	S	A
4	N	N-mGe004	1st_telling	2480	3820	1340	Bh-id	Other	 Pragmatic	P S	Multi-S	0,87691	N-vE002	0	2205	3741	1536	Годов \семидес<u>я</u>тых я думаю.	Period	F	4	275	79	D	D	D	D	D	S	D	S
4	N	N-mGe005	1st_telling	3820	4090	270	Bh-id	Beat		S		0,47577	N-vE003	0	3741	4606	865	\Сн<u>я</u>т примерно.	Period	F	2	79	-516	D	A	D	A	S	A	S	A
